,emotion 1,emotion 2,rating
0g_aiwRKJqM.03,scared,scared,y7
0g_aiwRKJqM.09,neutral,neutral,pg
0kvloLSK6ew.01,neutral,neutral,g
1yhNm_8q07g.01,happy,happy,pg
49iNyQvMgy0.01,scared,neutral,pg14
6-JGr-ZyPv8.02,neutral,neutral,y
70e6aGUbgwU.00,happy,happy,y7
7XkWU0M0M9s.06,neutral,neutral,pg
97xL-DNDHEI.00,neutral,neutral,pg
9P1IVQJdVvE.00,neutral,angry,pg14
ACG9pwtKtjQ.00,angry,neutral,pg14
aqAbmYh7eAM.01,scared,neutral,pg
ArXvM11n3Ug.01,neutral,neutral,pg14
B3eoMIEop_E.02,neutral,sad,pg14
bcENL_Vdoqw.02,neutral,neutral,g
bLYVGIqd2WE.01,happy,neutral,g
BYG1qf3XJNM.00,happy,happy,pg
bZKpc2WCBvs.07,neutral,neutral,g
eCoiFAKbL3I.01,neutral,happy,pg
eF2Vms5WLPc.02,scared,scared,pg14
eF2Vms5WLPc.04,neutral,scared,pg14
eF2Vms5WLPc.07,scared,neutral,pg14
fGg-VNMHT4A.00,happy,angry,y
FVLQM61SIf0.03,scared,scared,g
g04ipP_RqBE.01,scared,happy,g
gGTRdpW8oZA.00,neutral,neutral,pg
gGTRdpW8oZA.02,scared,scared,pg
Ht0IbFNbfSY.01,neutral,neutral,pg
HUmX6CiMoFk.00,happy,happy,g
HUmX6CiMoFk.01,happy,happy,g
HVUlFV3Bs70.02,happy,happy,g
i8KnemK3YTM.06,neutral,neutral,g
IvC8zu0ixNo.00,neutral,neutral,y7
JG94l547jPE.00,neutral,scared,g
JpUxQyLCBbk.00,sad,angry,pg14
Kcrf5foF0CY.02,neutral,neutral,pg14
KDqs8_aFLhk.02,happy,happy,pg
krcHpMdOVAk.00,neutral,neutral,pg14
kwauNQdyl8M.00,neutral,neitral,pg14
kZZj831VbEM.01,neutral,neutral,pg
l-tyYcfP8p0.02,angry,angry,pg14
NaY91YjVbEM.02,happy,happy,g
Nqf15ViHSmQ.00,neutral,neutral,g
o-NuXSWtL2s.00,scared,neutral,pg
o4amX_TkXsk.01,angry,angry,pg
OI3rOt20QT0.00,angry,angry,pg
p3Co2OLO_eg.01,scared,neutral,pg14
pes5F6EJlP0.02,neutral,neutral,g
psEHAKzMIvs.02,scared,neutral,pg14
PSVN4YZGaeU.00,happy,happy,g
pWV6WQE5EJc.02,happy,angry,pg14
QDxJsff1zlU.01,happy,happy,pg14
QHzXEgy0bdo.00,angry,angry,y7
QqivtpiYFDU.01,neutral,neutral,pg
Qwq9bDGmHQ8.02,neutral,scared,pg
reuJjGhgU_k.01,neutral,neutral,pg14
Rq1QAEyVK2w.00,neutral,neutral,g
rqtN279OoX8.00,scared,neutral,ma
S7gy4bEzN1A.01,neutral,neutral,pg14
sra_H9o7pjA.02,neutral,neutral,y
sxTavjEu8Yc.01,neutral,neutral,pg14
TmNARZonhvY.02,neutral,neutral,g
tOKt3waM0Qg.00,angry,angry,pg
tt0066344.01,scared,happy,y7
tt0493405.01,happy,neutral,pg
tt0493405.02,happy,happy,ma
tt1232829.01,happy,neutral,pg14
tt1655460.00,happy,neutral,pg
tt1714203.02,neutral,neutral,pg
tt1980209.00,happy,sad,pg14
tt2005164.00,angry,angry,ma
tt2005164.01,angry,neutral,ma
tt2101441.02,neutral,neutral,pg
tt2179116.00,neutral,angry,pg
tt2179116.01,happy,happy,pg
tt2179936.00,neutral,neutral,pg14
tt2404463.00,neutral,angry,pg
tt2788710.02,happy,happy,pg
tt2917484.00,scared,scared,ma
tt3491962.02,neutral,neutral,pg14
tt4481514.02,scared,scared,ma
tt4843640.00,angry,angry,ma
tt4843640.01,neutral,angry,ma
tt6521876.01,angry,neutral,ma
vpD0k9oebI4.00,neutral,neutral,pg
VxlUTNfoBPw.03,scared,scared,ma
VxlUTNfoBPw.04,scared,scared,ma
VxlUTNfoBPw.06,scared,scared,ma
vZMd_PSEuRk.04,neutral,neutral,g
WDujTXiLuaw.00,scared,scared,pg
wxmmya8_fKw.00,sad,sad,pg
WzSJ9QRmV_Q.02,neutral,neutral,pg
X27R97m0Z8c.01,scared,scared,pg14
xfsGIrvglO8.02,angry,angry,y
XSol1q4zklg.01,sad,angry,pg
Xw9bca0Kjpo.02,neutral,angry,g
y8cIJ7w4eJ8.01,sad,sad,g
YHTmnGKdmAo.00,happy,happy,pg
YlhxwPxssYQ.00,happy,happy,pg
YT127qw8eQQ.02,angry,angry,pg
