,emotion 1,emotion 2,rating
05C_USQpmnI.01,neutral,happy,y
0g_aiwRKJqM.05,neutral,scared,y
11XnzEaFThU.00,sad,angry,g
2fch6wJNuxE.01,scared,scared,g
30-LwQM9IlY.00,angry,angry,y7
30-LwQM9IlY.02,angry,angry,y7
3d7NjfTziNM.00,happy,happy,g
5LBSZnZ2BbY.00,neutral,neutral,y
6-JGr-ZyPv8.00,happy,happy,y
6yKh2hNYBYo.02,neutral,neutral,y
7aIvhXOq6oM.00,happy,happy,y
9-r9MIsPhg8.02,neutral ,happy,ma
9Buv3Xp9dqI.02,neutral,angry,y
aBbzgUTWE6w.01,happy,happy,y7
Auyj3CNF5xk.02,scared,angry,pg
bWxQPzpL2zs.00,neutral,neutral,g
bWxQPzpL2zs.02,happy,happy,pg
bWxQPzpL2zs.04,happy,happy,pg
bZKpc2WCBvs.03,scared,angry,pg14
bZKpc2WCBvs.04,scared,angry,pg14
copfNPbpLR8.01,neutral,neutral,y
dnzA9bYc7I8.00,happy,happy,pg
dnzA9bYc7I8.01,happy,happy,pg
DODLEX4zzLQ.06,happy,happy,y7
EA_mqwxoH7I.02,happy,happy,y
EbcfiIeH63M.00,neutral,happy,g
EbcfiIeH63M.01,happy,happy,g
ehJdupwHXTk.01,happy,angry,g
f0a8M8xoCdU.00,happy,happy,pg
fukx0OR1ao4.00,happy,neutral ,g
FVLQM61SIf0.00,scared,scared,y7
FVLQM61SIf0.05,neutral,neutral,y7
g04ipP_RqBE.00,happy,happy,y
G5XKkXVmt3k.01,happy,happy,pg
GgHRGgViWfY.02,happy,happy,g
gLXT76m_880.00,happy,neutral,y
H0mutl4l5hw.01,happy,happy,y
HEGC2MjaWAM.00,neutral,happy,y
i8KnemK3YTM.04,scared,scared,pg14
Icojw8fP03E.00,happy,happy,y
Icojw8fP03E.01,angry,sad,y
Icojw8fP03E.02,happy,happy,y
JG94l547jPE.02, angry,neutral,g
JpUxQyLCBbk.02,neutral,neutral,pg
KDqs8_aFLhk.01,happy,happy,pg
KPMNAjV3UyY.02,neutral,neutral,y
kZZj831VbEM.00,happy,happy,g
l-tyYcfP8p0.01,neutral,angry,g
Nao6FwfXGhA.00,angry,angry,g
Nao6FwfXGhA.01,angry,angry,g
nAULsoAQn2g.01,angry,happy,g
NBO3vF8p0J0.00,scared,neutral,g
NEoOJ0uRskY.02,angry,neutral,g
NeUm3vHYOtw.02,happy,happy,y
ngFPBz_8SDc.01,happy,happy,y
NHTZYPbVQAg.00,neutral,neutral,g
Nqf15ViHSmQ.02,happy,happy,g
oGs7JtCfm5U.02,sad,angry,g
P8m-KThvtxA.02,scared,scared,g
pWV6WQE5EJc.00,neutral,happy,y
QaSGPqbLE9Y.01,happy,happy,y
QhMO5SSmiaA.00,neutral,neutral,g
qr7onP8c8q8.01,happy,happy,y
qr7onP8c8q8.02,happy,happy,g
qTet5MA_pC0.01,neutral,neutral,pg
qTet5MA_pC0.02,neutral,neutral,pg
R-XDCZhOnIo.01,scared,neutral,y
reuJjGhgU_k.02,neutral,neutral,pg14
rjOx3W5GtXg.01,happy,happy,g
ro2x8gd2v-M.02,scared,scared,pg14
rpFqyWChCYw.02,angry,happy,g
rvgYBbc6vYk.01,happy,happy,ma
sJR5erB8hU4.02,scared,happy,g
sRaF4gk1yhY.01,angry,happy,y7
sra_H9o7pjA.09,angry,angry ,y7
tMAwr-m4f3A.00,scared,scared,pg14
tt0066344.02,happy,happy,y
tt1156398.02,neutral,neutral,y
tt1758795.00,neutral,happy,ma
tt1758795.02,scared,angry,ma
tt2244901.00,happy,happy,ma
tt2380564.02,neutral,neutral,y
tt2557490.00,scared,scared,pg14
tt2718440.02,happy,angry,ma
tt2784678.00,happy,happy,pg14
tt2784678.02,happy,happy,ma
tt2788710.01,neutral,scared,ma
tt2937696.01,neutral,neutral,g
tt5716848.00,neutral,neutral,ma
tt7256866.00,neutral,angry,ma
tt7319064.01,scared,scared,pg14
Uk0mJSTatbw.00,happy,happy,ma
VVQB_M2f6xM.00,angry,happy,g
VxlUTNfoBPw.02,scared,happy,pg14
VxlUTNfoBPw.05,scared,scared,pg14
w8icJJZKAgM.00,happy,happy,y
Xb1P5uHrIuU.02,happy,scared,pg
Ym1NLvmcl0k.01,happy,neutral,g
YYlPKnlpJ2U.01,neutral,neutral,ma
ZqEsUqI4YD8.02,angry,angry,ma
