,emotion 1,emotion 2,rating
0OMLrBsH_IA.00,neutral,neutral,y7
11XnzEaFThU.02,angry,scared,pg
1lJ6P7DNiqU.02,neutral,neutral,pg14
49iNyQvMgy0.00,scared,scared,ma
4nPuZ9chE7s.01,neutral,neutral,pg
4Xp4z5qlyqs.01,angry,neutral,pg14
4Xp4z5qlyqs.04,neutral,neutral,pg14
4Xp4z5qlyqs.07,neutral,neutral,pg
5LBSZnZ2BbY.01,neutral,neutral,pg14
6iYlAL8W1Gk.02,neutral,neutral,pg14
6yKh2hNYBYo.00,neutral,neutral,pg
7aIvhXOq6oM.01,happy,happy,y
7TMrciKhhkk.02,neutral,neutral,pg
7XkWU0M0M9s.00,neutral,neutral,y7
7XkWU0M0M9s.02,neutral,neutral,y7
7XkWU0M0M9s.07,neutral,neutral,y7
aBbzgUTWE6w.02,neutral,neutral,y7
ArXvM11n3Ug.02,neutral,angry,pg14
Auyj3CNF5xk.00,neutral,neutral,pg
Auyj3CNF5xk.05,scared,neutral,pg
Auyj3CNF5xk.06,neutral,neutral,pg14
avktSv68q6M.00,neutral,neutral,pg
avktSv68q6M.01,neutral,neutral,pg
bZKpc2WCBvs.01,scared,scared,ma
CD4MptwCvWM.01,happy,happy,pg
copfNPbpLR8.02,neutral,neutral,pg14
cRU9BT9M9Iw.00,happy,happy,pg
cRU9BT9M9Iw.01,neutral,neutral,pg
CVa3ud_bL4A.00,scared,scared,g
dGidYBqBHVw.01,neutral,neutral,pg
dzhmA92F77s.01,sad,angry,pg
eCFoHIp0Hbg.00,scared,scared,y7
era18XunpLc.02,happy,neutral,pg
F-Z3qNeZyTU.01,neutral,neutral,pg
f0a8M8xoCdU.02,neutral,neutral,pg14
fDkXHWMNNmc.00,happy,neutral,pg
fDkXHWMNNmc.02,happy,happy,pg
G5XKkXVmt3k.02,happy,happy,pg14
Goq-yLTafws.00,neutral,neutral,y7
gqYvBlO2BFo.00,angry,neutral,pg14
gqYvBlO2BFo.02,sad,sad,pg14
HEGC2MjaWAM.02,neutral,angry,pg14
hN1ui3LyFgc.01,angry,neutral,pg14
I-SFA5Xs0s8.00,neutral,neutral,pg
I-SFA5Xs0s8.01,neutral,neutral,pg
I-SFA5Xs0s8.02,neutral,neutral,pg
IUbn5ss8j9c.02,angry,angry,pg
JMLuOvRpyts.02,neutral,neutral,pg
Kcrf5foF0CY.00,neutral,neutral,pg14
KDqs8_aFLhk.00,happy,happy,pg
kLUFit8815c.00,neutral,neutral,g
kZZj831VbEM.02,neutral,neutral,pg
LsGL5MXRVmc.00,neutral,neutral,pg14
lzdPjidRrOc.00,happy,happy,pg
lzdPjidRrOc.01,neutral,happy,pg
NBO3vF8p0J0.02,neutral,angry,pg
O6Iiy_YOe4Y.01,angry,angry,pg
omMtBWigSC0.02,neutral,neutral,pg
pes5F6EJlP0.01,sad,neutral,pg
QaSGPqbLE9Y.00,happy,happy,pg
qUed6Ug4Cgo.01,neutral,neutral,pg
R-XDCZhOnIo.00,neutral,neutral,pg14
rqtN279OoX8.01,angry,neutral,pg
rvgYBbc6vYk.00,neutral,neutral,pg
s0M6y5sCUVM.00,neutral,neutral,pg
s0M6y5sCUVM.02,neutral,neutral,pg14
sRaF4gk1yhY.02,neutral,neutral,y7
sra_H9o7pjA.010,neutral,neutral,g
Tek2m1onttE.02,happy,happy,g
tt0287969.00,neutral,neutral,g
tt0368343.00,scared,neutral,pg14
tt0465602.00,angry,angry,ma
tt1478338.00,happy,neutral,pg
tt1524930.02,neutral,neutral,pg
tt1637725.00,happy,neutral,pg
tt2380564.01,angry,scared,ma
tt2404463.01,angry,angry,pg
tt2437712.02,neutral,neutral,pg14
tt2872718.01,scared,angry,pg14
tt3491962.00,scared,scared,ma
tt3675748.01,neutral,neutral,ma
tt4156972.00,angry,angry,pg14
tt4769836.00,sad,sad,pg
tt5162658.00,happy,happy,pg14
tt5688932.01,happy,angry,pg14
tt5688932.02,neutral,neutral,pg14
tt6051948.01,scared,happy,pg14
tt6516314.02,scared,scared,ma
tt6521876.02,neutral,neutral,ma
uN84HhcdIws.00,neutral,angry,pg14
uW-cotxZvlw.02,neutral,neutral,pg
VNM7Z7hir_I.02,happy,happy,pg14
w8icJJZKAgM.01,neutral,neutral,pg
W8ZrM6Lff18.00,happy,happy,pg
whgVLNC5KSY.00,happy,happy,pg
xjCElooEE3o.02,neutral,neutral,pg
XKlschbwL1c.01,happy,happy,pg
yoA8KNDyIwU.00,angry,angry,y7
ZqEsUqI4YD8.00,neutral,neutral,pg
ZsWPgEpfafM.02,happy,neutral,y7
