,emotion 1,emotion 2,rating
0g_aiwRKJqM.00,neutral,neutral,pg
0OMLrBsH_IA.01,happy,happy,y7
1CsN6ZYgp2Y.00,happy,happy,pg
1xIaQiPO0DY.02,happy,neutral,pg
30-LwQM9IlY.03,neutral,neutral,y
4I9CwlPk8GE.01,neutral,neutral,pg
4I9CwlPk8GE.02,scared,neutral,pg
6-JGr-ZyPv8.01,angry,happy,y7
7XkWU0M0M9s.03,neutral,neutral,y7
7XkWU0M0M9s.04,neutral,neutral,y7
8AGNsvNFUGw.01,angry,angry,pg
9Buv3Xp9dqI.00,neutral,neutral,pg14
9ffKBhMacLo.00,happy,happy,pg
aqAbmYh7eAM.02,happy,happy,pg
as-kuWcHIT0.02,neutral,neutral,pg14
Auyj3CNF5xk.09,angry,neutral,pg
B3eoMIEop_E.00,neutral,neutral,pg
bZKpc2WCBvs.00,neutral,neutral,pg14
CeKMHBOU6Jk.01,happy,neutral,pg
dzhmA92F77s.02,neutral,neutral,g
eF2Vms5WLPc.05,scared,scared,ma
eF2Vms5WLPc.06,neutral,neutral,ma
ehJdupwHXTk.00,happy,happy,pg
fnpaS5VC4zw.01,neutral,happy,pg
fnpaS5VC4zw.02,happy,neutral,g
FVLQM61SIf0.04,angry,angry,pg
g04ipP_RqBE.02,scared,scared,g
H0mutl4l5hw.02,happy,happy,g
HEGC2MjaWAM.01,neutral,neutral,pg14
i8KnemK3YTM.05,scared,scared,pg
i8KnemK3YTM.07,neutral,neutral,g
IvC8zu0ixNo.04,angry,angry,y7
JpUxQyLCBbk.01,angry,angry,pg14
KHMRej5YjwA.00,neutral,angry,pg14
Lrj0c3Ta-Tg.01,neutral,neutral,pg14
m0dtn1BNQOA.00,happy,happy,pg
nAULsoAQn2g.00,neutral,neutral,pg
nAULsoAQn2g.02,neutral,neutral,pg
NzDhm808oU4.01,neutral,neutral,pg14
NzDhm808oU4.02,angry,angry,pg14
o-NuXSWtL2s.01,angry,angry,pg
o4amX_TkXsk.00,angry,angry,y7
o4amX_TkXsk.02,angry,angry,y7
ozVRGho-cZQ.00,scared,scared,pg
ozVRGho-cZQ.02,scared,scared,pg
p3Co2OLO_eg.00,neutral,neutral,pg
P8m-KThvtxA.00,happy,happy,g
P8m-KThvtxA.01,happy,scared,g
pCjY3ZQY8WY.01,happy,scared,pg
PSVN4YZGaeU.02,happy,happy,g
QaSGPqbLE9Y.02,happy,happy,pg
QDxJsff1zlU.00,happy,angry,pg14
qJVhGXSZO9Y.00,neutral,neutral,pg14
QlaeirHJpns.00,neutral,neutral,pg14
qpMLHyuQHoQ.02,happy,happy,pg
QwcjToDEsUY.01,scared,happy,pg
ro2x8gd2v-M.01,angry,angry,ma
Rq1QAEyVK2w.02,neutral,neutral,pg
RuU-SHQljDQ.00,neutral,neutral,pg14
sB83uyHhIRY.01,neutral,neutral,pg
sJR5erB8hU4.00,angry,angry,pg
sRaF4gk1yhY.00,neutral,neutral,g
Tek2m1onttE.01,neutral,happy,pg
tMAwr-m4f3A.01,angry,neutral,pg14
tt0117951.00,neutral,neutral,pg14
tt0117951.01,neutral,neutral,pg14
tt0287969.02,neutral,neutral,pg
tt0398839.01,neutral,neutral,pg14
tt1220617.02,neutral,neutral,ma
tt1232829.00,happy,neutral,pg
tt1524930.01,scared,neutral,ma
tt2005164.02,neutral,neutral,pg14
tt2179116.02,neutral,neutral,pg
tt2230358.01,scared,scared,pg14
tt2718440.00,neutral,neutral,pg
tt2980472.01,angry,neutral,pg14
tt3279176.01,neutral,neutral,pg14
tt4438848.02,scared,happy,ma
tt4481514.01,happy,angry,pg14
tt4738776.02,happy,happy,ma
tt5027774.00,angry,angry,ma
tt6051948.00,angry,neutral,pg14
tt7256866.02,neutral,neutral,pg
tt8097306.01,neutral,happy,pg14
Uk0mJSTatbw.01,happy,neutral,pg
uW-cotxZvlw.00,happy,happy,pg14
v6IyejLa35s.02,angry,angry,ma
vf2J2rDAzJw.00,happy,neutral,pg14
W8ZrM6Lff18.01,happy,happy,pg
WDujTXiLuaw.01,scared,scared,g
WzSJ9QRmV_Q.01,angry,neutral,pg14
X27R97m0Z8c.03,neutral,neutral,pg
Xb1P5uHrIuU.01,neutral,happy,pg
xbEpWP5aWpA.01,angry,angry,y7
XfOrJp8bKbE.00,neutral,scared,pg
xfsGIrvglO8.00,angry,angry,y7
xHcPhdZBngw.00,neutral,neutral,pg
Xw9bca0Kjpo.00,angry,angry,pg
YT127qw8eQQ.01,angry,angry,pg
_68rPYEX-A0.00,happy,neutral,pg
