,emotion 1,emotion 2,rating
0g_aiwRKJqM.01,angry,neutral,pg
0g_aiwRKJqM.010,neutral,scared,pg
0o5lmDCKstc.01,angry,happy,g
1CsN6ZYgp2Y.01,neutral,scared,y
1lJ6P7DNiqU.00,angry,happy,pg
3d7NjfTziNM.02,happy,happy,g
5ixoqCecD6Y.02,angry,scared,ma
6n7HtMKjFGA.01,neutral,neutral,g
6n7HtMKjFGA.02,neutral,neutral,pg
7TMrciKhhkk.00,happy,happy,y
7XkWU0M0M9s.08,happy,scared,y7
9-r9MIsPhg8.01,happy,angry,ma
97xL-DNDHEI.02,happy,happy,y
9aHpZKXC4q8.00,happy,happy,y
9P1IVQJdVvE.02,neutral,neutral,y
A0641hHG1IQ.02,scared,scared,pg14
ACG9pwtKtjQ.01,neutral,angry,y
ArXvM11n3Ug.00,scared,scared,pg
Auyj3CNF5xk.01,scared,scared,pg
Auyj3CNF5xk.07,happy,angry,pg14
BvJ1BuEtZEo.01,neutral,neutral,y
bWxQPzpL2zs.01,neutral,neutral,g
bWxQPzpL2zs.03,happy,neutral,g
bZKpc2WCBvs.06,scared,neutral,y
CD4MptwCvWM.00,happy,happy,y
CVa3ud_bL4A.01,scared,scared,y
CVa3ud_bL4A.02,scared,scared,y
EA_mqwxoH7I.01,happy,happy,y
EbcfiIeH63M.02,happy,neutral,y
eCFoHIp0Hbg.02,neutral,neutral,y
EOAQuBtfNlc.00,neutral,scared,pg
EOAQuBtfNlc.02,scared,neutral,pg
era18XunpLc.01,happy,happy,y
EyrnqjV61ZY.02,neutral,happy,y
fnpaS5VC4zw.00,happy,happy,y
FVLQM61SIf0.06,happy,happy,y
gLXT76m_880.01,neutral,neutral,y
Goq-yLTafws.01,neutral,neutral,y7
hdDBKxJSAHQ.00,neutral,neutral,y
HE8UAfl83UY.01,scared,happy,pg14
HUmX6CiMoFk.02,happy,happy,y
hVU7HKjhlxo.00,neutral,happy,y
i8KnemK3YTM.00,scared,scared,pg14
i8KnemK3YTM.02,scared,scared,pg14
i8KnemK3YTM.03,scared,scared,pg14
JrmxD9UxY0E.02,scared,happy,y
kltbeJ-tJrY.00,happy,happy,y
kLUFit8815c.01,happy,happy,y
KPMNAjV3UyY.01,angry,angry,pg14
l-tyYcfP8p0.00,neutral,neutral,y
LsGL5MXRVmc.01,happy,angry,pg
mctn16hLzhg.01,neutral,happy,pg
NEoOJ0uRskY.00,angry,happy,y
p3Co2OLO_eg.02,scared,neutral,pg14
pBIOkvC6oXI.02,happy,happy,y
pWV6WQE5EJc.01,happy,neutral,y
QHzXEgy0bdo.02,angry,happy,y
qUed6Ug4Cgo.02,neutral,happy,y
rqtN279OoX8.02,happy,scared,g
Ru5eWlxOK6w.00,happy,happy,g
Ru5eWlxOK6w.02,angry,angry,g
RuU-SHQljDQ.02,scared,scared,pg
sk00epALZps.02,neutral,neutral,y
sxTavjEu8Yc.00,neutral,angry,y
sxTavjEu8Yc.02,sad,sad,y
Tek2m1onttE.00,scared,scared,pg
tOKt3waM0Qg.02,happy,happy,pg
tt0287969.01,angry,angry,pg14
tt0398839.00,happy,happy,pg14
tt1220617.01,happy,scared,pg14
tt1879032.00,sad,scared,g
tt1959563.00,angry,happy,ma
tt2101441.00,neutral,scared,ma
tt2718440.01,angry,angry,ma
tt2788710.00,happy,happy,pg
tt3564200.01,happy,angry,pg14
tt4156972.01,neutral,happy,y
tt4438848.01,scared,angry,ma
tt4738776.01,neutral,angry,pg14
tt4769836.01,happy,angry,ma
tt5162658.01,angry,angry,pg14
tt5688932.00,angry,neutral,ma
tt5879216.01,scared,happy,ma
tt6521876.03,neutral,neutral,y
tt7734218.01,angry,neutral,pg14
tt8366502.00,happy,scared,ma
Uk0mJSTatbw.02,scared,neutral,g
uThDGzLhOXg.02,happy,scared,ma
uW-cotxZvlw.01,neutral,happy,y
vpD0k9oebI4.02,neutral,angry,g
VxlUTNfoBPw.010,angry,scared,pg14
VxlUTNfoBPw.09,scared,angry,pg
vZMd_PSEuRk.00,happy,happy,pg14
W8ZrM6Lff18.02,neutral,happy,y
wAQrhM7pOjk.00,happy,happy,y
WDujTXiLuaw.02,scared,scared,y
WmIS_icNcLk.02,happy,scared,g
XfOrJp8bKbE.02,happy,happy,y
y8cIJ7w4eJ8.02,neutral,neutral,y
YlhxwPxssYQ.02,scared,scared,y7
