,emotion 1,emotion 2,rating
05C_USQpmnI.02,happy,happy,y
0g_aiwRKJqM.011,neutral,scared,y
0g_aiwRKJqM.06,neutral,neutral,y7
0g_aiwRKJqM.07,neutral,neutral,y7
0g_aiwRKJqM.08,happy,scared,g
0kvloLSK6ew.00,happy,happy,y
0kvloLSK6ew.02,neutral,neutral,y
11XnzEaFThU.01,happy,scared,pg14
1CsN6ZYgp2Y.02,sad,scared,y
1yhNm_8q07g.00,happy,happy,pg14
4uO08Lr5g3k.01,happy,happy,y
4Xp4z5qlyqs.02,happy,angry,g
4Xp4z5qlyqs.08,happy,neutral,pg14
7w4TMdCLNMM.02,happy,happy,y
8AGNsvNFUGw.00,scared,sad,g
9aHpZKXC4q8.01,happy,happy,y
9P1IVQJdVvE.01,angry,neutral,pg14
Auyj3CNF5xk.08,angry,angry,pg14
bWxQPzpL2zs.06,neutral,neutral,g
bWxQPzpL2zs.07,happy,angry,pg14
BYG1qf3XJNM.02,scared,scared,y
bZKpc2WCBvs.05,scared,scared,pg14
cLnFSqpyQDg.01,angry,angry,ma
cLnFSqpyQDg.02,angry,angry,ma
copfNPbpLR8.00,neutral,neutral,y
dGidYBqBHVw.00,neutral,neutral,y
DODLEX4zzLQ.01,happy,neutral,y
DODLEX4zzLQ.05,neutral,neutral,y
eCFoHIp0Hbg.01,happy,happy,y7
eF2Vms5WLPc.03,neutral,neutral,pg14
EOAQuBtfNlc.01,scared,neutral,ma
era18XunpLc.00,happy,happy,y
exhHtH3HOvI.00,neutral,neutral,y
EyrnqjV61ZY.00,neutral,happy,y
EyrnqjV61ZY.01,neutral,scared,y
eZjgg2lTYpE.02,angry,happy,y7
FVLQM61SIf0.02,angry,happy,y7
FVLQM61SIf0.07,happy,happy,y7
GL7Mo_B3O74.02,happy,angry,g
gLXT76m_880.02,neutral,neutral,y
hVU7HKjhlxo.01,happy,happy,ma
hVU7HKjhlxo.02,neutral,neutral,ma
IUbn5ss8j9c.01,angry,angry,g
IvC8zu0ixNo.01,angry,scared,pg
IvC8zu0ixNo.02,angry,scared,y7
IvC8zu0ixNo.05,neutral,neutral,y
KHMRej5YjwA.01,neutral,neutral,g
kltbeJ-tJrY.01,scared,happy,g
kltbeJ-tJrY.02,happy,happy,y7
mctn16hLzhg.02,happy,happy,y
MlPd6zWjd_0.00,neutral,happy,y
NaY91YjVbEM.01,happy,happy,y
Nd1Qkdt4L2c.00,neutral,neutral,y
Nd1Qkdt4L2c.02,neutral,neutral,y
Nqf15ViHSmQ.01,happy,happy,y
o-NuXSWtL2s.02,neutral,neutral,g
O6Iiy_YOe4Y.02,sad,sad,y
OI3rOt20QT0.02,neutral,neutral,y
pBIOkvC6oXI.00,happy,happy,y
pBIOkvC6oXI.01,happy,angry,y
psEHAKzMIvs.00,scared,scared,ma
PSVN4YZGaeU.01,happy,happy,y
QhMO5SSmiaA.02,angry,neutral,y
QlaeirHJpns.02,scared,neutral,y
QqivtpiYFDU.02,happy,happy,g
qUed6Ug4Cgo.00,neutral,happy,y
Qwq9bDGmHQ8.00,neutral,neutral,y
reuJjGhgU_k.00,neutral,neutral,pg14
ro2x8gd2v-M.00,angry,neutral,pg14
rpFqyWChCYw.01,scared,scared,g
Ru5eWlxOK6w.01,happy,angry,g
RuU-SHQljDQ.01,neutral,neutral,g
sra_H9o7pjA.05,neutral,neutral,y
sra_H9o7pjA.07,neutral,neutral,y
TmNARZonhvY.01,neutral,neutral,y
tt0368343.01,neutral,neutral,y
tt0995039.00,neutral,scared,y
tt1232829.02,angry,neutral,pg14
tt1478338.02,happy,happy,y
tt2244901.01,happy,happy,pg14
tt2278388.00,neutral,neutral,g
tt2278388.02,neutral,neutral,y
tt2437712.00,happy,scared,ma
tt3675748.00,angry,angry,pg14
tt4438848.00,happy,happy,ma
tt4481514.00,happy,neutral,ma
tt4649466.01,neutral,neutral,pg
tt4651520.02,neutral,neutral,y
tt6516314.01,scared,neutral,pg14
tt8097306.00,happy,happy,ma
VxlUTNfoBPw.01,scared,scared,pg14
VxlUTNfoBPw.08,scared,scared,pg14
vZMd_PSEuRk.01,happy,happy,pg14
WmIS_icNcLk.01,scared,scared,g
wzZPNpL0FqQ.00,neutral,neutral,pg
xfsGIrvglO8.03,scared,scared,y7
XZVHmRvfDHM.02,scared,scared,g
YYlPKnlpJ2U.02,happy,sad,pg14
Z9QTS4doveY.00,happy,happy,y
zNjO6arjuAc.01,happy,happy,y
